palabra,pista
Lionel Messi,Futbolista
Cristiano Ronaldo,Futbolista
Neymar,Futbolista
Kylian Mbappé,Futbolista
Erling Haaland,Futbolista
Zinedine Zidane,Futbolista
Ronaldinho,Futbolista
Ronaldo Nazário,Futbolista
Pelé,Futbolista
Diego Maradona,Futbolista
Johan Cruyff,Futbolista
Andrés Iniesta,Futbolista
Xavi Hernández,Futbolista
Luka Modrić,Futbolista
Karim Benzema,Futbolista
Robert Lewandowski,Futbolista
Kevin De Bruyne,Futbolista
Mohamed Salah,Futbolista
Virgil van Dijk,Futbolista
Sergio Ramos,Futbolista
Gerard Piqué,Futbolista
Iker Casillas,Futbolista
Manuel Neuer,Futbolista
Gianluigi Buffon,Futbolista
Paolo Maldini,Futbolista
Thierry Henry,Futbolista
Zlatan Ibrahimović,Futbolista
Wayne Rooney,Futbolista
David Beckham,Futbolista
Luis Suárez,Futbolista
Antoine Griezmann,Futbolista
Sadio Mané,Futbolista
Harry Kane,Futbolista
Jude Bellingham,Futbolista
Pedri,Futbolista
Vinícius Júnior,Futbolista
Rodri,Futbolista
Gavi,Futbolista
Bukayo Saka,Futbolista
Phil Foden,Futbolista
Paul Pogba,Futbolista
N'Golo Kanté,Futbolista
Marco Reus,Futbolista
Toni Kroos,Futbolista
Casemiro,Futbolista
Ángel Di María,Futbolista
Edinson Cavani,Futbolista
Didier Drogba,Futbolista
Samuel Eto'o,Futbolista
Francesco Totti,Futbolista
Andrea Pirlo,Futbolista
Clarence Seedorf,Futbolista
Xabi Alonso,Futbolista
Rivaldo,Futbolista
Kaká,Futbolista
Raúl González,Futbolista
Fernando Torres,Futbolista
Arjen Robben,Futbolista
Franck Ribéry,Futbolista
Bastian Schweinsteiger,Futbolista
Mesut Özil,Futbolista
Cesc Fàbregas,Futbolista
David Villa,Futbolista
Carles Puyol,Futbolista
Riyad Mahrez,Futbolista
Son Heung-min,Futbolista
Gareth Bale,Futbolista
Roberto Carlos,Futbolista
Cafu,Futbolista
Alessandro Del Piero,Futbolista
Christian Eriksen,Futbolista
Hugo Lloris,Futbolista
Thibaut Courtois,Futbolista
Marc-André ter Stegen,Futbolista
Alisson Becker,Futbolista
Javier Zanetti,Futbolista
Carlos Tévez,Futbolista
Paulo Dybala,Futbolista
Lautaro Martínez,Futbolista
Romelu Lukaku,Futbolista
Marco Verratti,Futbolista
James Rodríguez,Futbolista
Radamel Falcao,Futbolista
Alexis Sánchez,Futbolista
Arturo Vidal,Futbolista
Thiago Silva,Futbolista
Pepe,Futbolista
Bernardo Silva,Futbolista
João Félix,Futbolista
Bruno Fernandes,Futbolista
Robert Pirès,Futbolista
Patrick Vieira,Futbolista
Ronald Koeman,Futbolista
Michael Ballack,Futbolista
Miroslav Klose,Futbolista
Samuel Umtiti,Futbolista
Gerard Moreno,Futbolista
Álvaro Morata,Futbolista
Fernando Hierro,Futbolista
Rúben Dias,Futbolista
Julián Álvarez,Futbolista
Ousmane Dembélé,Futbolista
Ansu Fati,Futbolista
Antony,Futbolista
Marcus Rashford,Futbolista
Jamal Musiala,Futbolista
Federico Valverde,Futbolista
Rodrigo De Paul,Futbolista
Achraf Hakimi,Futbolista
Theo Hernández,Futbolista
Frenkie de Jong,Futbolista
Matthijs de Ligt,Futbolista
Ilkay Gündoğan,Futbolista
Joshua Kimmich,Futbolista
Rafael Leão,Futbolista
Emiliano Martínez,Futbolista
Darwin Núñez,Futbolista
Declan Rice,Futbolista
Mason Mount,Futbolista
Gabriel Batistuta,Futbolista
Romario,Futbolista
